time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
-200,1.0715,0.4068,3.1724,3.2864,2.4386,2.1938,1.6685,1.1048,0.3361,-0.5899,1.9573,1.1105,2.9194,2.573,2.5201,2.026,2.3408,2.0927,2.7633,2.3799,1.832,1.4534,2.0808,1.445,1.034,0.7842,-0.9855,-1.0071,-0.4427,-0.9889,0.8412,2.9658,2.3837,1.9448,2.2682,1.7425,0.1777,-0.2189,2.4596,2.0318,0.5085,0.1155,2.0565
-195,1.129,0.4234,3.2997,3.3662,2.4622,2.3138,1.7718,1.1804,0.4563,-0.5806,2.0335,1.21,3.0591,2.7074,2.5985,2.1179,2.4744,2.2194,2.8599,2.4856,1.8938,1.5483,2.1548,1.5266,1.0947,0.8829,-0.9256,-0.883,-0.3795,-0.8403,0.8599,3.0427,2.5005,2.0563,2.3464,1.8404,0.2425,-0.096,2.5724,2.1421,0.5728,0.2329,2.1224
-190,1.1816,0.4396,3.4009,3.4225,2.4699,2.4177,1.8619,1.2521,0.5722,-0.5655,2.0976,1.3008,3.1764,2.8208,2.6632,2.1934,2.5876,2.3275,2.9385,2.5709,1.9471,1.6314,2.2159,1.5944,1.1527,0.9756,-0.8557,-0.7513,-0.3102,-0.6852,0.8684,3.0978,2.5994,2.1511,2.4116,1.9241,0.3097,0.0279,2.6672,2.2351,0.6372,0.3486,2.1757
-185,1.2246,0.4538,3.4613,3.4441,2.4563,2.4953,1.9296,1.3166,0.6797,-0.5425,2.1421,1.3771,3.2562,2.9003,2.7053,2.2447,2.6684,2.4059,2.9879,2.6257,1.987,1.6965,2.2566,1.6399,1.2055,1.0585,-0.7735,-0.6123,-0.2337,-0.5255,0.8644,3.1205,2.6691,2.2189,2.4556,1.986,0.3787,0.1501,2.7329,2.3003,0.7004,0.4593,2.2102
-180,1.2527,0.463,3.4709,3.4249,2.4196,2.5381,1.9704,1.372,0.7788,-0.5088,2.1625,1.4356,3.2863,2.9376,2.7192,2.2684,2.7082,2.4478,2.9993,2.6444,2.0112,1.7419,2.2717,1.6614,1.2525,1.1316,-0.6779,-0.466,-0.1487,-0.3618,0.8496,3.1052,2.7011,2.2543,2.4731,2.0226,0.4495,0.2706,2.7607,2.3323,0.7618,0.5649,2.2229
-175,1.2623,0.4635,3.4246,3.3622,2.36,2.5374,1.9806,1.4152,0.8712,-0.4613,2.1567,1.4752,3.2595,2.9286,2.7015,2.2638,2.7009,2.4486,2.9676,2.6254,2.0175,1.7687,2.2548,1.6604,1.2925,1.1961,-0.571,-0.3142,-0.0569,-0.1939,0.825,3.0489,2.6882,2.2545,2.4608,2.0333,0.5199,0.3898,2.744,2.3287,0.8195,0.6656,2.2121
-170,1.2511,0.4513,3.3203,3.2548,2.2777,2.4854,1.9569,1.4416,0.9577,-0.3977,2.1224,1.4952,3.1731,2.8717,2.6494,2.2314,2.6426,2.405,2.8908,2.5689,2.0033,1.7777,2.1998,1.6372,1.3228,1.2518,-0.4573,-0.1612,0.0378,-0.0229,0.7905,2.9509,2.6252,2.2177,2.4165,2.0183,0.5862,0.5064,2.6784,2.2879,0.8696,0.7606,2.1765
-165,1.2202,0.4241,3.1586,3.1029,2.1735,2.3792,1.8991,1.4485,1.0364,-0.3187,2.0558,1.4962,3.0277,2.7669,2.5616,2.1723,2.5327,2.3161,2.7681,2.4756,1.9667,1.769,2.1039,1.5929,1.3415,1.2966,-0.3401,-0.0131,0.133,0.1479,0.7458,2.8117,2.5109,2.1438,2.3381,1.9783,0.6457,0.617,2.5623,2.2101,0.9099,0.8474,2.1155
-160,1.1726,0.3809,2.9432,2.9084,2.0493,2.2217,1.81,1.4353,1.1049,-0.2283,1.9535,1.4798,2.8259,2.6164,2.4379,2.0882,2.3733,2.1854,2.5999,2.3472,1.9069,1.7425,1.9686,1.5295,1.3473,1.3285,-0.2204,0.1259,0.2284,0.3156,0.6919,2.6336,2.3474,2.0353,2.2246,1.9144,0.6977,0.7187,2.3979,2.0977,0.9395,0.9235,2.0297
-155,1.1116,0.3222,2.6811,2.6759,1.9081,2.021,1.6935,1.4032,1.1618,-0.1311,1.8168,1.4481,2.5743,2.4255,2.2799,1.9823,2.1698,2.0184,2.39,2.1878,1.8243,1.6989,1.7975,1.4482,1.3394,1.3463,-0.1006,0.2543,0.3224,0.4764,0.6317,2.4217,2.1406,1.8964,2.0777,1.8293,0.7411,0.8097,2.1905,1.9547,0.9577,0.9875,1.9208
-150,1.0387,0.2507,2.3819,2.4123,1.7521,1.787,1.5533,1.3522,1.2055,-0.0309,1.6506,1.402,2.2824,2.2019,2.091,1.8571,1.9308,1.8214,2.1449,2.0026,1.7191,1.6385,1.595,1.3509,1.3153,1.3481,0.0157,0.3714,0.4104,0.6248,0.5669,2.1821,1.8988,1.7319,1.9014,1.725,0.7734,0.8875,1.948,1.786,0.9626,1.0377,1.7905
-145,0.9519,0.1721,2.0544,2.1241,1.5819,1.5274,1.3924,1.2799,1.2323,0.0693,1.4589,1.339,1.96,1.9517,1.8733,1.7129,1.6648,1.599,1.871,1.7948,1.5907,1.5597,1.3648,1.2376,1.2717,1.3303,0.1242,0.4759,0.4871,0.7542,0.4983,1.9202,1.6292,1.5452,1.6985,1.6016,0.7907,0.9482,1.6776,1.5951,0.9507,1.0705,1.6393
-140,0.8485,0.0923,1.705,1.816,1.3965,1.2485,1.2123,1.1828,1.2355,0.1656,1.2434,1.2551,1.6149,1.6773,1.6279,1.5478,1.3788,1.3549,1.5727,1.5654,1.4375,1.4593,1.1134,1.1057,1.2059,1.2882,0.2216,0.5642,0.5471,0.8578,0.4245,1.6392,1.3389,1.3375,1.4704,1.4569,0.7894,0.9864,1.3857,1.3831,0.919,1.081,1.4667
-135,0.727,0.0153,1.3406,1.4927,1.1959,0.9575,1.0161,1.0609,1.2096,0.253,1.0078,1.1487,1.2555,1.3804,1.3588,1.3614,1.0803,1.0944,1.2567,1.3158,1.261,1.3353,0.8512,0.9554,1.1176,1.2193,0.3068,0.6324,0.5891,0.931,0.3454,1.3431,1.0361,1.1116,1.2211,1.2903,0.7686,0.9981,1.0802,1.1524,0.8671,1.0655,1.274
-130,0.5876,-0.0556,0.97,1.1604,0.9815,0.6625,0.8087,0.9178,1.1529,0.3275,0.7599,1.0213,0.8915,1.0669,1.0729,1.1561,0.7779,0.8247,0.9322,1.0506,1.065,1.1887,0.5897,0.7908,1.0087,1.1236,0.3771,0.6768,0.6131,0.9713,0.2626,1.0373,0.7304,0.8728,0.9575,1.1042,0.7292,0.9812,0.7708,0.9083,0.7963,1.0227,1.0647
-125,0.4344,-0.1192,0.6032,0.8247,0.7548,0.3726,0.5959,0.7572,1.0656,0.3878,0.5076,0.8754,0.5325,0.7469,0.7766,0.9358,0.4792,0.5541,0.6075,0.7769,0.8525,1.0209,0.3369,0.6183,0.88,1.0023,0.4285,0.6946,0.6178,0.9776,0.1765,0.7275,0.4303,0.6288,0.6861,0.9023,0.6709,0.935,0.4658,0.6584,0.7072,0.9522,0.842
-120,0.275,-0.1765,0.2486,0.4899,0.5177,0.0957,0.3831,0.5823,0.9496,0.4335,0.2565,0.7133,0.1854,0.4302,0.4749,0.7039,0.1907,0.2904,0.2877,0.5016,0.6267,0.8341,0.0958,0.4434,0.7324,0.8574,0.4604,0.6835,0.6022,0.9499,0.0875,0.4187,0.1419,0.3868,0.4115,0.6882,0.5943,0.8601,0.1711,0.4098,0.6008,0.8549,0.6085
-115,0.1173,-0.227,-0.0881,0.1599,0.2738,-0.1634,0.1742,0.396,0.8089,0.4645,0.01,0.5396,-0.1446,0.1246,0.1729,0.4646,-0.0824,0.0379,-0.0233,0.2305,0.3911,0.6316,-0.1332,0.2689,0.5677,0.6929,0.4755,0.6454,0.5664,0.8912,-0.0037,0.1152,-0.1309,0.1514,0.1377,0.4666,0.5014,0.7596,-0.1094,0.1672,0.4793,0.734,0.3678
-110,-0.033,-0.2699,-0.4026,-0.1608,0.029,-0.4037,-0.0268,0.2021,0.6501,0.4818,-0.2282,0.3594,-0.4528,-0.1651,-0.1235,0.2229,-0.3371,-0.2002,-0.3199,-0.032,0.1506,0.4188,-0.3511,0.0969,0.3897,0.5157,0.477,0.589,0.5123,0.8084,-0.0936,-0.1781,-0.3862,-0.0738,-0.1302,0.2423,0.3953,0.6408,-0.3729,-0.0654,0.3463,0.5964,0.1245
