time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
-200,1.0775,0.0605,3.0984,3.3512,2.4192,2.0954,1.7458,1.0419,0.4473,-0.4414,1.9775,1.2751,2.8619,2.5407,2.5312,2.0214,2.3141,2.0886,2.771,2.3173,1.7909,1.4345,1.9517,1.5021,0.8625,0.7898,-1.1958,-0.8998,-0.6163,-0.8161,0.7101,2.9563,2.3058,1.9693,2.2677,1.7621,0.0231,-0.1197,2.3988,2.0389,0.3766,0.1912,2.008
-195,1.1266,0.1018,3.22,3.4216,2.4191,2.2125,1.8679,1.1186,0.5515,-0.4507,2.0509,1.3591,2.9653,2.6935,2.5949,2.1318,2.4179,2.2259,2.844,2.4453,1.8473,1.5279,2.0299,1.5958,0.9327,0.8782,-1.1193,-0.822,-0.545,-0.7056,0.7087,3.0202,2.4064,2.0958,2.3342,1.866,0.0968,-0.0245,2.4939,2.1657,0.4469,0.286,2.0721
-190,1.1726,0.134,3.3168,3.4704,2.4113,2.3065,1.9734,1.1866,0.6581,-0.4511,2.1065,1.437,3.0458,2.8259,2.6398,2.2315,2.504,2.3445,2.8968,2.5582,1.8924,1.6177,2.0929,1.6798,1.001,0.9687,-1.0313,-0.7293,-0.4686,-0.5831,0.7069,3.0661,2.4873,2.2059,2.3838,1.9611,0.1719,0.0786,2.5692,2.2763,0.516,0.3864,2.1258
-185,1.2109,0.153,3.3757,3.4879,2.3939,2.3653,2.0514,1.241,0.7649,-0.4393,2.1375,1.5042,3.0921,2.9254,2.6585,2.3136,2.5618,2.4318,2.9205,2.6462,1.9214,1.7,2.1332,1.7461,1.0649,1.0598,-0.9307,-0.6194,-0.3868,-0.4474,0.705,3.0858,2.5381,2.2887,2.4095,2.041,0.2471,0.1895,2.6146,2.3602,0.582,0.4916,2.164
-180,1.238,0.1573,3.3908,3.4707,2.3673,2.3839,2.0989,1.2811,0.8721,-0.4121,2.1414,1.5603,3.0987,2.9872,2.65,2.3764,2.5854,2.4805,2.9116,2.7059,1.9338,1.7741,2.1456,1.7888,1.1238,1.1514,-0.8177,-0.4908,-0.2987,-0.2969,0.7032,3.0763,2.5534,2.3388,2.4092,2.1042,0.3221,0.309,2.625,2.4123,0.6444,0.602,2.1853
-175,1.2529,0.146,3.3603,3.4184,2.3322,2.3615,2.1176,1.3086,0.9792,-0.3676,2.1168,1.606,3.063,3.0101,2.6151,2.419,2.5721,2.4892,2.868,2.7363,1.9306,1.8392,2.1245,1.806,1.1778,1.2427,-0.6933,-0.3444,-0.2032,-0.1315,0.7017,3.0369,2.5303,2.3557,2.3826,2.1501,0.3975,0.4365,2.5978,2.4318,0.7041,0.717,2.19
-170,1.2564,0.1205,3.2833,3.33,2.2871,2.2969,2.1083,1.325,1.0835,-0.3071,2.0611,1.6397,2.9828,2.9916,2.5531,2.4384,2.5194,2.4582,2.7867,2.7337,1.9122,1.8923,2.0635,1.7973,1.2262,1.3302,-0.558,-0.1846,-0.0999,0.0452,0.7001,2.9668,2.4656,2.3388,2.3283,2.176,0.4733,0.5686,2.5298,2.4178,0.7611,0.8333,2.1768
-165,1.2476,0.0842,3.1579,3.2045,2.2287,2.1878,2.0686,1.3297,1.1803,-0.2348,1.9726,1.6569,2.8558,2.9274,2.4619,2.4288,2.4244,2.386,2.6647,2.6919,1.8776,1.9279,1.9584,1.7615,1.2666,1.4086,-0.4129,-0.0191,0.0104,0.2263,0.6961,2.8637,2.3566,2.2859,2.2442,2.1764,0.5484,0.699,2.4182,2.3671,0.8143,0.9448,2.1429
-160,1.2235,0.0417,2.9835,3.0409,2.1527,2.0363,1.9968,1.3201,1.2647,-0.1547,1.8536,1.654,2.6824,2.8148,2.34,2.3853,2.2871,2.273,2.5026,2.6062,1.8247,1.9409,1.8123,1.6981,1.2953,1.472,-0.2625,0.1442,0.1248,0.4042,0.6855,2.7257,2.2045,2.1957,2.1302,2.1466,0.6194,0.8213,2.2641,2.2778,0.8605,1.0452,2.0849
-155,1.1808,-0.0033,2.7627,2.84,2.0549,1.8485,1.8932,1.2934,1.3326,-0.0688,1.7085,1.6299,2.4661,2.6553,2.1878,2.3054,2.111,2.1233,2.3035,2.4767,1.7515,1.9273,1.6328,1.6085,1.3073,1.5151,-0.1153,0.2983,0.2377,0.5722,0.6636,2.5525,2.0146,2.0701,1.9878,2.0848,0.6808,0.9295,2.0724,2.1514,0.8949,1.1291,2.0005
