time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
-200,0.2052,0.3159,1.6094,1.4256,1.1253,1.4245,1.0847,0.3941,-0.3162,-0.4876,1.258,0.4986,1.5644,1.2823,1.2981,0.8257,1.2578,1.0536,1.4633,1.1111,0.842,0.3588,1.5885,0.9601,0.2475,-0.0891,-1.1414,-1.196,-0.7148,-1.2661,0.2941,1.3867,1.4588,1.0952,1.2154,0.6985,-0.3036,-0.7168,1.4597,1.0984,-0.0745,-0.5017,0.8616
-195,0.3223,0.3558,1.8549,1.5942,1.1611,1.6061,1.2256,0.4747,-0.2444,-0.538,1.3592,0.5763,1.7715,1.5047,1.4181,0.9403,1.4558,1.2784,1.6183,1.2636,0.9224,0.4448,1.6848,1.0328,0.3116,-0.0214,-1.0889,-1.1589,-0.6695,-1.2076,0.2861,1.5367,1.6295,1.2604,1.3295,0.8063,-0.243,-0.6581,1.6273,1.261,-0.01,-0.4375,0.9561
-190,0.4348,0.3848,2.0806,1.7512,1.1949,1.7658,1.3563,0.5494,-0.1654,-0.578,1.4409,0.6507,1.9569,1.7131,1.5231,1.0513,1.637,1.4863,1.7544,1.4087,0.9957,0.533,1.7635,1.1013,0.3765,0.0537,-1.0273,-1.1058,-0.6193,-1.1321,0.2808,1.6756,1.7808,1.4142,1.4285,0.9109,-0.1802,-0.5874,1.7755,1.4131,0.055,-0.3633,1.0456
-185,0.5351,0.3992,2.2704,1.8859,1.2249,1.8882,1.4677,0.6141,-0.0786,-0.6016,1.4942,0.7191,2.1059,1.8938,1.6043,1.1532,1.788,1.6629,1.8599,1.5375,1.0568,0.621,1.8154,1.1608,0.4401,0.1364,-0.9564,-1.0313,-0.5634,-1.0345,0.2802,1.7938,1.8994,1.5463,1.5038,1.0077,-0.1164,-0.502,1.8915,1.5445,0.1182,-0.2774,1.1248
-180,0.6162,0.3967,2.4106,1.9887,1.2494,1.9618,1.5525,0.6665,0.0163,-0.6037,1.5149,0.7792,2.2077,2.0351,1.6563,1.2408,1.899,1.7972,1.9276,1.6417,1.1025,0.706,1.8332,1.2074,0.501,0.2267,-0.8749,-0.9313,-0.5008,-0.912,0.2851,1.8829,1.9754,1.648,1.5503,1.0919,-0.0521,-0.4001,1.9659,1.6468,0.1789,-0.1789,1.1895
-175,0.6764,0.3775,2.4908,2.0515,1.2662,1.982,1.6058,0.7049,0.1171,-0.5818,1.5019,0.8284,2.2556,2.1276,1.6757,1.3088,1.9623,1.8805,1.9528,1.7136,1.1305,0.7843,1.8131,1.238,0.5578,0.3225,-0.7818,-0.8071,-0.4311,-0.7659,0.2946,1.9362,2.0032,1.713,1.5652,1.1588,0.0124,-0.2834,1.9932,1.7131,0.236,-0.0698,1.2363
-170,0.7192,0.3437,2.505,2.0689,1.2729,1.9485,1.6251,0.7281,0.221,-0.5355,1.4575,0.8643,2.2459,2.1657,1.6615,1.3536,1.9731,1.9085,1.9326,1.747,1.1392,0.8528,1.7538,1.2498,0.608,0.4209,-0.6785,-0.6635,-0.3556,-0.5999,0.3055,1.9489,1.9803,1.7373,1.5477,1.2044,0.0755,-0.1554,1.9708,1.7392,0.2883,0.0463,1.2621
-165,0.7462,0.2974,2.4518,2.0391,1.2671,1.8644,1.6092,0.7374,0.3267,-0.4671,1.3852,0.8861,2.1781,2.1472,1.6145,1.3744,1.9297,1.8815,1.8665,1.7397,1.1288,0.9098,1.6574,1.2399,0.65,0.5191,-0.5683,-0.5039,-0.2747,-0.4181,0.3144,1.9193,1.9074,1.7195,1.4987,1.2275,0.1361,-0.0191,1.8992,1.7235,0.3346,0.1667,1.2658
-160,0.7548,0.2415,2.3349,1.9636,1.2466,1.7356,1.5586,0.735,0.4321,-0.3807,1.2892,0.8952,2.0557,2.0745,1.5379,1.3713,1.8341,1.8033,1.7579,1.6935,1.1009,0.954,1.528,1.2056,0.6827,0.6132,-0.4552,-0.3335,-0.1889,-0.227,0.318,1.8484,1.7883,1.6605,1.4215,1.2285,0.1934,0.1212,1.7823,1.6671,0.3749,0.2878,1.2475
-155,0.7414,0.1791,2.1608,1.8466,1.2096,1.568,1.4736,0.7224,0.5329,-0.2804,1.1731,0.8931,1.885,1.9519,1.4356,1.344,1.6911,1.6792,1.613,1.6111,1.0574,0.9829,1.3688,1.1468,0.7049,0.698,-0.3426,-0.1609,-0.0992,-0.0346,0.3137,1.739,1.6282,1.5629,1.3198,1.2077,0.2464,0.2589,1.6252,1.5725,0.4086,0.4037,1.2076
-150,0.7039,0.112,1.937,1.6925,1.1541,1.3673,1.3542,0.6983,0.6222,-0.1714,1.0392,0.8794,1.672,1.7837,1.3102,1.2899,1.507,1.5144,1.4373,1.4939,0.9986,0.9922,1.1827,1.0648,0.7147,0.7671,-0.2331,0.0045,-0.0091,0.1509,0.3003,1.5945,1.4322,1.4293,1.1963,1.1639,0.2927,0.3862,1.4332,1.4422,0.4339,0.5074,1.146
-145,0.6428,0.042,1.6717,1.506,1.0778,1.1392,1.2026,0.6603,0.6932,-0.0599,0.8888,0.8519,1.4234,1.5761,1.1628,1.2069,1.2883,1.3147,1.2352,1.3442,0.9239,0.9779,0.975,0.9619,0.7095,0.8145,-0.1287,0.1549,0.0767,0.3218,0.2766,1.4185,1.2065,1.2638,1.0527,1.0952,0.3295,0.4961,1.2122,1.2799,0.4483,0.5925,1.0621
